exchange_id,exchange_name,symbol,base,target,funding_rate,open_interest_usd,h24_volume,last,trade_url
binance_futures,Binance (Futures),AAVEUSD_PERP,AAVE,USD,0.01,250535056.59,103723.31433032,352.83,https://www.binance.com/en/futures/AAVEUSD_PERP
binance_futures,Binance (Futures),AAVEUSDC,AAVE,USDC,0.01,6226940.538021624,76915.2,351.74,https://www.binance.com/en/futures/AAVEUSDC
binance_futures,Binance (Futures),AAVEUSDT,AAVE,USDT,0.01,171486642.3984375,2052245.6,352.7,https://www.binance.com/en/futures/AAVEUSDT
binance_futures,Binance (Futures),ADAUSD_PERP,ADA,USD,0.01,46038650.0,195961161.0973455,0.911,https://www.binance.com/en/futures/ADAUSD_PERP
binance_futures,Binance (Futures),ADAUSDC,ADA,USDC,0.005,8798583.221403526,98488238.2,0.913,https://www.binance.com/en/futures/ADAUSDC
binance_futures,Binance (Futures),ADAUSDT,ADA,USDT,0.01,288904825.67475,1969396414.0,0.912,https://www.binance.com/en/futures/ADAUSDT
binance_futures,Binance (Futures),APTUSD_PERP,APT,USD,0.01,3133727.834,1686193.17272602,4.702,https://www.binance.com/en/futures/APTUSD_PERP
binance_futures,Binance (Futures),APTUSDT,APT,USDT,0.01,84398923.517076,45233763.0,4.704,https://www.binance.com/en/futures/APTUSDT
binance_futures,Binance (Futures),ARBUSDC,ARB,USDC,0.01,3937617.923684559,77996822.7,0.585,https://www.binance.com/en/futures/ARBUSDC
binance_futures,Binance (Futures),ARBUSDT,ARB,USDT,0.01,103984264.6433514,1482262218.3,0.586,https://www.binance.com/en/futures/ARBUSDT
binance_futures,Binance (Futures),ATOMUSD_PERP,ATOM,USD,0.01,1714485.408,1524497.63456098,4.832,https://www.binance.com/en/futures/ATOMUSD_PERP
binance_futures,Binance (Futures),ATOMUSDT,ATOM,USDT,0.01,35784484.22329527,20466892.59,4.831,https://www.binance.com/en/futures/ATOMUSDT
binance_futures,Binance (Futures),AVAXUSD_PERP,AVAX,USD,0.01,25561740.69,1428776.20695868,25.89,https://www.binance.com/en/futures/AVAXUSD_PERP
binance_futures,Binance (Futures),AVAXUSDC,AVAX,USDC,0.01,6717161.980880746,2220698.27,25.898,https://www.binance.com/en/futures/AVAXUSDC
binance_futures,Binance (Futures),AVAXUSDT,AVAX,USDT,0.01,204543629.4084871,38687730.0,25.868,https://www.binance.com/en/futures/AVAXUSDT
binance_futures,Binance (Futures),BCHUSD_PERP,BCH,USD,0.01,7481350.0,28995.76166867,584.73,https://www.binance.com/en/futures/BCHUSD_PERP
binance_futures,Binance (Futures),BCHUSDC,BCH,USDC,0.01,4165233.632945338,30132.181,585.16,https://www.binance.com/en/futures/BCHUSDC
binance_futures,Binance (Futures),BCHUSDT,BCH,USDT,0.01,271105715.03598,483946.593,585.18,https://www.binance.com/en/futures/BCHUSDT
binance_futures,Binance (Futures),BNBUSD_PERP,BNB,USD,0.041,104997410.0,261186.27349477,887.6,https://www.binance.com/en/futures/BNBUSD_PERP
binance_futures,Binance (Futures),BNBUSDC,BNB,USDC,0.008,43919798.99161826,242167.13,888.16,https://www.binance.com/en/futures/BNBUSDC
binance_futures,Binance (Futures),BNBUSDT,BNB,USDT,0.012,659244488.05887,1492933.56,887.48,https://www.binance.com/en/futures/BNBUSDT
binance_futures,Binance (Futures),BTCUSD_PERP,BTC,USD,0.01,3103114200.0,26227.11846994,115216.5,https://www.binance.com/en/futures/BTCUSD_PERP
binance_futures,Binance (Futures),BTCUSDC,BTC,USDC,0.01,888921869.9774108,35081.947,115261.2,https://www.binance.com/en/futures/BTCUSDC
