symbol,base,target,contract_type,last,funding_rate,open_interest_usd,h24_volume,trade_url
1000000BOBUSDT,1000000BOB,USDT,perpetual,0.066,0.011,1503985.3732748,40117568.0,https://www.binance.com/en/futures/1000000BOBUSDT
1000000MOGUSDT,1000000MOG,USDT,perpetual,1.027,0.005,5424637.744890001,11880998.7,https://www.binance.com/en/futures/1000000MOGUSDT
1000BONKUSDC,1000BONK,USDC,perpetual,0.021,0.005,2011741.77225644,837725251.0,https://www.binance.com/en/futures/1000BONKUSDC
1000BONKUSDT,1000BONK,USDT,perpetual,0.021,0.005,59588543.41893068,7149769137.0,https://www.binance.com/en/futures/1000BONKUSDT
1000CATUSDT,1000CAT,USDT,perpetual,0.008,0.005,4403900.1638751,3833857646.0,https://www.binance.com/en/futures/1000CATUSDT
1000CHEEMSUSDT,1000CHEEMS,USDT,perpetual,0.001,0.005,15225504.895807019,1430079531.0,https://www.binance.com/en/futures/1000CHEEMSUSDT
1000FLOKIUSDT,1000FLOKI,USDT,perpetual,0.1,0.001,16564771.12676875,443311925.0,https://www.binance.com/en/futures/1000FLOKIUSDT
1000LUNCUSDT,1000LUNC,USDT,perpetual,0.059,0.01,4791219.0890544,88214324.0,https://www.binance.com/en/futures/1000LUNCUSDT
1000PEPEUSDC,1000PEPE,USDC,perpetual,0.01,0.01,8172778.26464652,2438447390.0,https://www.binance.com/en/futures/1000PEPEUSDC
1000PEPEUSDT,1000PEPE,USDT,perpetual,0.01,0.01,217790289.6188239,53829756207.0,https://www.binance.com/en/futures/1000PEPEUSDT
1000RATSUSDT,1000RATS,USDT,perpetual,0.017,0.005,5178799.13952318,204077956.0,https://www.binance.com/en/futures/1000RATSUSDT
1000SATSUSDT,1000SATS,USDT,perpetual,0.0,0.005,5892610.7135826,775947570150.0,https://www.binance.com/en/futures/1000SATSUSDT
1000SHIBUSDC,1000SHIB,USDC,perpetual,0.012,0.007,1864286.5311993,334765964.0,https://www.binance.com/en/futures/1000SHIBUSDC
1000SHIBUSDT,1000SHIB,USDT,perpetual,0.012,0.01,55780521.28013529,7145784231.0,https://www.binance.com/en/futures/1000SHIBUSDT
1000WHYUSDT,1000WHY,USDT,perpetual,0.0,0.009,2895442.59387556,39408328854.0,https://www.binance.com/en/futures/1000WHYUSDT
1000XUSDT,1000X,USDT,perpetual,0.053,0.005,1615480.3880999999,32116183.0,https://www.binance.com/en/futures/1000XUSDT
1000XECUSDT,1000XEC,USDT,perpetual,0.02,0.01,1855830.54673896,86527350.0,https://www.binance.com/en/futures/1000XECUSDT
1INCHUSDT,1INCH,USDT,perpetual,0.248,0.01,6402116.99471916,37656941.0,https://www.binance.com/en/futures/1INCHUSDT
1MBABYDOGEUSDT,1MBABYDOGE,USDT,perpetual,0.001,-0.002,4808218.53820464,5244830927.0,https://www.binance.com/en/futures/1MBABYDOGEUSDT
