exchange_id,exchange_name,symbol,base,target,funding_rate,open_interest_usd,h24_volume,last,trade_url
binance_futures,Binance (Futures),1000000BOBUSDT,1000000BOB,USDT,0.005,1506089.98206579,39873592.0,0.067,https://www.binance.com/en/futures/1000000BOBUSDT
binance_futures,Binance (Futures),1000000MOGUSDT,1000000MOG,USDT,0.005,5452771.16035655,11894979.3,1.034,https://www.binance.com/en/futures/1000000MOGUSDT
binance_futures,Binance (Futures),1000BONKUSDC,1000BONK,USDC,0.005,2056825.286607,840931047.0,0.022,https://www.binance.com/en/futures/1000BONKUSDC
binance_futures,Binance (Futures),1000BONKUSDT,1000BONK,USDT,0.005,60034896.8005281,7175652865.0,0.022,https://www.binance.com/en/futures/1000BONKUSDT
binance_futures,Binance (Futures),1000CATUSDT,1000CAT,USDT,0.005,4458227.21308146,3845465926.0,0.008,https://www.binance.com/en/futures/1000CATUSDT
binance_futures,Binance (Futures),1000CHEEMSUSDT,1000CHEEMS,USDT,0.005,15236370.850241521,1447069967.0,0.001,https://www.binance.com/en/futures/1000CHEEMSUSDT
binance_futures,Binance (Futures),1000FLOKIUSDT,1000FLOKI,USDT,0.002,16664043.287974,446802411.0,0.1,https://www.binance.com/en/futures/1000FLOKIUSDT
binance_futures,Binance (Futures),1000LUNCUSDT,1000LUNC,USDT,0.01,4815506.71888152,87461457.0,0.059,https://www.binance.com/en/futures/1000LUNCUSDT
binance_futures,Binance (Futures),1000PEPEUSDC,1000PEPE,USDC,0.01,8347440.05423184,2459229707.0,0.01,https://www.binance.com/en/futures/1000PEPEUSDC
binance_futures,Binance (Futures),1000PEPEUSDT,1000PEPE,USDT,0.01,218593798.4243562,54198051742.0,0.01,https://www.binance.com/en/futures/1000PEPEUSDT
binance_futures,Binance (Futures),1000RATSUSDT,1000RATS,USDT,0.005,5160286.67773014,205768356.0,0.017,https://www.binance.com/en/futures/1000RATSUSDT
binance_futures,Binance (Futures),1000SATSUSDT,1000SATS,USDT,0.005,5919569.950276799,771266005560.0,0.0,https://www.binance.com/en/futures/1000SATSUSDT
binance_futures,Binance (Futures),1000SHIBUSDC,1000SHIB,USDC,0.008,1870472.70668352,334476693.0,0.012,https://www.binance.com/en/futures/1000SHIBUSDC
binance_futures,Binance (Futures),1000SHIBUSDT,1000SHIB,USDT,0.01,56071656.338472,7156504731.0,0.012,https://www.binance.com/en/futures/1000SHIBUSDT
binance_futures,Binance (Futures),1000WHYUSDT,1000WHY,USDT,0.028,2901212.18250864,39085081761.0,0.0,https://www.binance.com/en/futures/1000WHYUSDT
binance_futures,Binance (Futures),1000XUSDT,1000X,USDT,0.005,1617541.7013720002,32029737.0,0.053,https://www.binance.com/en/futures/1000XUSDT
binance_futures,Binance (Futures),1000XECUSDT,1000XEC,USDT,0.01,1863035.08794081,86238487.0,0.02,https://www.binance.com/en/futures/1000XECUSDT
binance_futures,Binance (Futures),1INCHUSDT,1INCH,USDT,0.01,6398276.98807913,37528209.0,0.249,https://www.binance.com/en/futures/1INCHUSDT
binance_futures,Binance (Futures),1MBABYDOGEUSDT,1MBABYDOGE,USDT,0.005,4831035.70682641,5235274331.0,0.001,https://www.binance.com/en/futures/1MBABYDOGEUSDT
binance_futures,Binance (Futures),AUSDT,A,USDT,-0.004,10250831.65903224,15888360.0,0.491,https://www.binance.com/en/futures/AUSDT
binance_futures,Binance (Futures),A2ZUSDT,A2Z,USDT,0.005,3868375.73639764,2060987761.0,0.005,https://www.binance.com/en/futures/A2ZUSDT
binance_futures,Binance (Futures),AAVEUSD_PERP,AAVE,USD,0.006,198316699.23000002,40813.63176789,300.73,https://www.binance.com/en/futures/AAVEUSD_PERP
binance_futures,Binance (Futures),AAVEUSDC,AAVE,USDC,0.01,4452032.42052445,33224.4,300.17,https://www.binance.com/en/futures/AAVEUSDC
binance_futures,Binance (Futures),AAVEUSDT,AAVE,USDT,0.01,120800453.2007812,864370.0,300.84,https://www.binance.com/en/futures/AAVEUSDT
binance_futures,Binance (Futures),ACEUSDT,ACE,USDT,0.005,2449833.41084172,2773933.72,0.535,https://www.binance.com/en/futures/ACEUSDT
binance_futures,Binance (Futures),ACHUSDT,ACH,USDT,0.006,6618655.06360186,840436322.0,0.021,https://www.binance.com/en/futures/ACHUSDT
binance_futures,Binance (Futures),ACTUSDT,ACT,USDT,0.005,5192346.334553351,165309268.0,0.039,https://www.binance.com/en/futures/ACTUSDT
